,callsign,number,icao24,registration,typecode,origin,destination,firstseen,lastseen,day,latitude_1,longitude_1,altitude_1,latitude_2,longitude_2,altitude_2
4482,SRR6402,,45ce48,OY-SRH,B762,EDDK,LIME,2020-07-01 00:40:50+00:00,2020-07-01 01:40:52+00:00,2020-07-01 00:00:00+00:00,50.86555480957031,7.15068920238598,0.0,45.658481403932726,9.757095336914062,388.62
7148,SRR6498,,45ce4a,OY-SRJ,B762,EDDK,LIME,2020-07-01 01:59:34+00:00,2020-07-01 02:58:06+00:00,2020-07-01 00:00:00+00:00,50.86550903320312,7.15076343433277,0.0,45.65657043457031,9.767716570598324,434.34
8896,BCS67R,,3c1bab,D-AZMK,A306,EDDP,LIME,2020-07-01 03:02:29+00:00,2020-07-01 04:06:37+00:00,2020-07-01 00:00:00+00:00,51.4119873046875,12.2097448400549,304.8,45.67401123046875,9.6731269650343,342.9
9018,BLA2911,,4a09ae,YR-BMN,B738,,LIME,2020-07-01 03:06:19+00:00,2020-07-01 05:02:58+00:00,2020-07-01 00:00:00+00:00,46.529054803363344,26.54413604736328,3962.4,45.67396545410156,9.673796863090704,342.9
9744,WZZ82,,471f77,HA-LXV,A321,LROP,LIME,2020-07-01 03:36:52+00:00,2020-07-01 05:31:08+00:00,2020-07-01 00:00:00+00:00,44.56668090820312,26.10305786132812,0.0,45.65547180175781,9.773678663300307,449.58
9784,WZZ4BC,,471f56,HA-LWO,A320,,LIME,2020-07-01 03:39:00+00:00,2020-07-01 05:46:24+00:00,2020-07-01 00:00:00+00:00,46.73658467955508,27.96652221679688,7620.0,45.65689086914062,9.765706876429118,419.1
11120,RYR4659,FR4659,4d220b,9H-QCS,B738,LIBD,LIME,2020-07-01 04:37:08+00:00,2020-07-01 05:48:23+00:00,2020-07-01 00:00:00+00:00,41.14141845703125,16.770751953125,0.0,45.65350031448623,9.784011840820312,487.68
11335,RYR88VR,,4d2247,9H-QDF,B738,,LIME,2020-07-01 04:45:44+00:00,2020-07-01 05:59:52+00:00,2020-07-01 00:00:00+00:00,38.29638464976165,12.89400847061821,2743.2,45.65538024902344,9.773678663300307,449.58
12164,WZZ174,,471f69,HA-LXH,A321,,LIME,2020-07-01 05:18:39+00:00,2020-07-01 06:55:56+00:00,2020-07-01 00:00:00+00:00,42.921442581435386,23.18383353097098,3657.6,45.65501403808594,9.775889326886434,449.58
12354,WZZ20LA,,471f32,HA-LVE,A21N,EPWA,LIME,2020-07-01 05:25:30+00:00,2020-07-01 07:12:09+00:00,2020-07-01 00:00:00+00:00,52.17347717285156,20.96038818359375,0.0,45.65531585176112,9.774330139160156,457.2
