,callsign,number,icao24,registration,typecode,origin,destination,firstseen,lastseen,day,latitude_1,longitude_1,altitude_1,latitude_2,longitude_2,altitude_2
12973,TAY4303,,440193,,,EBLG,LIPE,2021-07-01 02:18:08+00:00,2021-07-01 03:23:59+00:00,2021-07-01 00:00:00+00:00,50.62728881835938,5.42746292917352,304.8,44.55654338254767,11.23003703791921,281.94
14673,BCS68J,,506ca0,,,EDDP,LIPE,2021-07-01 02:54:46+00:00,2021-07-01 03:58:45+00:00,2021-07-01 00:00:00+00:00,51.41358947753906,12.24715774123733,0.0,44.55593820345604,11.23177877286586,274.32
18249,VOE1825,,345699,EC-MUX,A319,LIEO,LIPE,2021-07-01 04:21:07+00:00,2021-07-01 05:04:59+00:00,2021-07-01 00:00:00+00:00,40.87714760990466,9.474334716796877,609.6,44.57945251464844,11.16603306361607,571.5
19277,SRR6498,,45ce4b,OY-SRK,B762,LIME,LIPE,2021-07-01 04:47:44+00:00,2021-07-01 05:07:58+00:00,2021-07-01 00:00:00+00:00,45.67151603052172,9.687332153320312,304.8,44.58075054621292,11.16251131383384,594.36
23672,RYR50ZV,,4d222c,,,,LIPE,2021-07-01 06:38:34+00:00,2021-07-01 07:41:44+00:00,2021-07-01 00:00:00+00:00,40.76756364208157,17.80746459960938,1524.0,44.4990234375,11.38968331473214,533.4
23733,RYR5RU,,4d2222,,,LICJ,LIPE,2021-07-01 06:40:19+00:00,2021-07-01 07:46:59+00:00,2021-07-01 00:00:00+00:00,38.2613525390625,13.20287826213431,1219.2,44.49644444352489,11.39684165396342,571.5
23810,RYR6VX,,4d21ec,,,LICA,LIPE,2021-07-01 06:42:21+00:00,2021-07-01 07:53:15+00:00,2021-07-01 00:00:00+00:00,38.90945434570312,16.20519223420516,304.8,44.49627685546875,11.39726911272321,579.12
24675,TJD850,,300288,I-TOPH,H25B,LIML,LIPE,2021-07-01 07:06:57+00:00,2021-07-01 07:26:23+00:00,2021-07-01 00:00:00+00:00,45.45291137695312,9.276319231305804,0.0,44.58064270019531,11.16289411272321,586.74
24785,RYR99YG,,4d2272,,,,LIPE,2021-07-01 07:09:34+00:00,2021-07-01 08:24:12+00:00,2021-07-01 00:00:00+00:00,37.64442055912341,15.40468298870584,3048.0,44.48629605568061,11.42491038252668,716.2800000000001
24977,TAR362,,02a185,TS-IMF,A320,,LIPE,2021-07-01 07:14:31+00:00,2021-07-01 08:18:21+00:00,2021-07-01 00:00:00+00:00,37.62071228027344,10.9187154566988,5791.2,44.48867021980932,11.41734053448933,632.46
25051,CTM1276,,3b77e5,F-RAFP,F900,LFPV,LIPE,2021-07-01 07:16:23+00:00,2021-07-01 08:37:28+00:00,2021-07-01 00:00:00+00:00,48.77435302734375,2.200575608473557,0.0,44.44436645507812,11.54244559151786,922.02
25083,RYR6RT,,4d2244,,,EDDB,LIPE,2021-07-01 07:17:27+00:00,2021-07-01 08:34:57+00:00,2021-07-01 00:00:00+00:00,52.37466585838188,13.51436070033482,0.0,44.47931322000795,11.44433742616235,822.96
25125,SLJ501,,3002de,I-ALVC,BE40,,LIPE,2021-07-01 07:18:33+00:00,2021-07-01 07:58:45+00:00,2021-07-01 00:00:00+00:00,41.11381918697034,14.04470963911577,4572.0,44.49905136884269,11.38994170398247,541.02
25826,RYR9809,,4d2286,,,,LIPE,2021-07-01 07:37:10+00:00,2021-07-01 09:39:50+00:00,2021-07-01 00:00:00+00:00,37.53694152832031,25.06454792428524,2438.4,44.49600219726562,11.39779227120536,571.5
26259,ANE56LH,,344213,EC-LPG,CRJX,LEMD,LIPE,2021-07-01 07:48:47+00:00,2021-07-01 09:30:25+00:00,2021-07-01 00:00:00+00:00,40.51134012513241,-3.55925820090556,304.8,44.49897766113281,11.39001028878348,541.02
26333,VLG7QN,,3443d5,EC-LVU,A320,LEBL,LIPE,2021-07-01 07:50:32+00:00,2021-07-01 09:02:15+00:00,2021-07-01 00:00:00+00:00,41.28923034667969,2.0946044921875,-304.8,44.48415465274099,11.43080548542302,739.14
26458,RYR4349,,4d2287,,,LEZL,LIPE,2021-07-01 07:53:30+00:00,2021-07-01 09:59:09+00:00,2021-07-01 00:00:00+00:00,37.41810607910156,-5.908774517952111,0.0,44.49211508540784,11.40889981897866,632.46
27034,RYR62PM,,4d227d,,,LEIB,LIPE,2021-07-01 08:07:54+00:00,2021-07-01 09:35:46+00:00,2021-07-01 00:00:00+00:00,38.8817138671875,1.394786005434783,0.0,44.49201965332031,11.4093017578125,640.08
28864,WZZ120A,,471f33,HA-LVF,A21N,,LIPE,2021-07-01 08:52:20+00:00,2021-07-01 10:05:28+00:00,2021-07-01 00:00:00+00:00,37.64814473814884,15.33112235691237,3048.0,44.49690996590307,11.39543486804497,571.5
29629,WZZ10NU,,471dfb,,,LICJ,LIPE,2021-07-01 09:09:53+00:00,2021-07-01 10:15:44+00:00,2021-07-01 00:00:00+00:00,38.26625061035156,13.18634033203125,1524.0,44.49627685546875,11.39726911272321,579.12
29945,WZZ9898,,471df9,,,LIBD,LIPE,2021-07-01 09:16:45+00:00,2021-07-01 10:19:22+00:00,2021-07-01 00:00:00+00:00,41.136474609375,16.753662109375,0.0,44.49508666992188,11.40047345842634,586.74
30439,CTM1276,,3b77e5,F-RAFP,F900,LIPE,LIPE,2021-07-01 09:27:02+00:00,2021-07-01 09:47:29+00:00,2021-07-01 00:00:00+00:00,44.57606506347656,11.29244123186384,304.8,44.54640197753906,11.3582284109933,464.8200000000001
31255,TJD850,,300288,I-TOPH,H25B,,LIPE,2021-07-01 09:46:13+00:00,2021-07-01 10:27:11+00:00,2021-07-01 00:00:00+00:00,41.00239562988281,14.01983642578125,4876.8,44.49118404065148,11.41111048256479,662.94
32137,IOZZL,,30085a,,,,LIPE,2021-07-01 10:06:14+00:00,2021-07-01 10:50:28+00:00,2021-07-01 00:00:00+00:00,44.50382995605469,11.67657034737723,304.8,44.48112487792969,11.5779549734933,548.64
32230,WZZ9ZE,,471f37,,,,LIPE,2021-07-01 10:08:00+00:00,2021-07-01 11:16:28+00:00,2021-07-01 00:00:00+00:00,41.72197762182203,18.98539698401163,7315.200000000001,44.58526611328125,11.1497832507622,647.7
32758,IKREM,,30025c,I-KREM,H25B,LEBL,LIPE,2021-07-01 10:17:28+00:00,2021-07-01 11:23:13+00:00,2021-07-01 00:00:00+00:00,41.27604675292969,2.0623779296875,304.8,44.5924072265625,11.1348397391183,739.14
33106,RYR1914,,4d226b,,,LGRP,LIPE,2021-07-01 10:23:35+00:00,2021-07-01 12:57:37+00:00,2021-07-01 00:00:00+00:00,36.40901727191472,28.09870293799867,0.0,44.58987478482521,11.13665324885671,701.0400000000001
33514,RYR432R,,4d2222,,,LIBD,LIPE,2021-07-01 10:31:32+00:00,2021-07-01 11:33:49+00:00,2021-07-01 00:00:00+00:00,41.14030741028866,16.76675969904119,0.0,44.58130917306674,11.16103753810976,586.74
34634,RYR6MW,,4d222c,,,EPMO,LIPE,2021-07-01 10:53:46+00:00,2021-07-01 12:31:49+00:00,2021-07-01 00:00:00+00:00,52.45037841796875,20.64224243164062,0.0,44.58228677006091,11.15815697646723,601.98
35374,RYR4WA,,4d225a,,,,LIPE,2021-07-01 11:07:34+00:00,2021-07-01 14:23:55+00:00,2021-07-01 00:00:00+00:00,28.94636535644531,-13.87018643892725,9448.8,44.59327697753906,11.12758091517857,739.14
