,callsign,number,icao24,registration,typecode,origin,destination,firstseen,lastseen,day,latitude_1,longitude_1,altitude_1,latitude_2,longitude_2,altitude_2
9,CCA597,,781641,,,WSSS,LIMC,2021-06-30 06:46:40+00:00,2021-07-01 08:15:06+00:00,2021-07-01 00:00:00+00:00,1.345732090836864,103.9756038271148,304.8,45.62713623046875,8.734398818597562,213.36
37,AZA9495,,4caab6,EI-ISA,B772,RJAA,LIMC,2021-06-30 12:19:43+00:00,2021-07-01 00:21:10+00:00,2021-07-01 00:00:00+00:00,35.67764282226562,140.438175201416,914.4,45.62566207627118,8.7242431640625,228.6
902,BCS955,,3c71a1,,,,LIMC,2021-06-30 21:09:37+00:00,2021-07-01 05:10:10+00:00,2021-07-01 00:00:00+00:00,39.03337097167969,-84.82669332753056,2133.6,45.62975867319915,8.733650207519531,220.98
1267,WZZ5524,W65524,471f3c,,,,LIMC,2021-06-30 21:46:44+00:00,2021-07-01 00:33:27+00:00,2021-07-01 00:00:00+00:00,34.43696594238281,26.40995570591518,11582.4,45.62200927734375,8.725221215224849,228.6
1404,DAL118,DL118,ab1979,N814NW,A333,KJFK,LIMC,2021-06-30 21:57:29+00:00,2021-07-01 05:14:59+00:00,2021-07-01 00:00:00+00:00,40.62657165527344,-73.78204345703125,0.0,45.62718200683594,8.734331828791921,213.36
2240,QTR2LY,,06a0a8,A7-BCD,B788,OTHH,LIMC,2021-06-30 22:43:16+00:00,2021-07-01 04:25:09+00:00,2021-07-01 00:00:00+00:00,25.27825927734375,51.59535725911459,0.0,45.626220703125,8.724037170410156,228.6
2527,CFG7172,,3c4aa2,D-ABUB,B763,EDDP,LIMC,2021-06-30 22:54:48+00:00,2021-07-01 00:03:21+00:00,2021-07-01 00:00:00+00:00,51.41285007282839,12.23129272460938,0.0,45.62420654296875,8.724618306974087,228.6
2780,UAL809,,a2cb14,N27959,B789,KEWR,LIMC,2021-06-30 23:03:48+00:00,2021-07-01 06:07:13+00:00,2021-07-01 00:00:00+00:00,40.68875070345604,-74.17094837535512,0.0,45.62901306152344,8.73386290015244,220.98
2829,ETD26N,,89653e,,,VIDP,LIMC,2021-06-30 23:05:13+00:00,2021-07-01 11:08:15+00:00,2021-07-01 00:00:00+00:00,28.54522705078125,77.07469059870793,304.8,45.63366906117584,8.732551574707031,228.6
3869,AAL198,,aa253b,N753AN,B772,KJFK,LIMC,2021-06-30 23:32:56+00:00,2021-07-01 06:30:28+00:00,2021-07-01 00:00:00+00:00,40.62171548099841,-73.78586509011006,0.0,45.63311043432203,8.732688903808594,228.6
4054,AZA9409,,4ca820,EI-WLA,B77W,KJFK,LIMC,2021-06-30 23:36:34+00:00,2021-07-01 06:43:58+00:00,2021-07-01 00:00:00+00:00,40.62683622715836,-73.781308260831,0.0,45.62305515095339,8.735504150390625,213.36
7990,ETD87,,8963ce,A6-BLA,B789,,LIMC,2021-07-01 00:42:57+00:00,2021-07-01 06:24:34+00:00,2021-07-01 00:00:00+00:00,24.82616877151748,54.27090626842571,5181.6,45.62887573242188,8.73386290015244,220.98
