,callsign,number,icao24,registration,typecode,origin,destination,firstseen,lastseen,day,latitude_1,longitude_1,altitude_1,latitude_2,longitude_2,altitude_2
41,CHH7971,,780e99,B-8118,A333,,LIRF,2019-06-30 08:39:07+00:00,2019-07-01 04:19:59+00:00,2019-07-01 00:00:00+00:00,29.50401694087659,106.8805470186121,9753.6,41.83198055978549,12.219415709029803,68.58
47,SIA366,SQ366,76cdb0,9V-SMP,A359,RJTT,LIRF,2019-06-30 08:56:16+00:00,2019-07-01 05:40:36+00:00,2019-07-01 00:00:00+00:00,35.48863297801907,139.81721269323472,914.4,41.85781705177436,12.20855712890625,236.22
62,KQA124,,04c117,5Y-KZA,B788,FAOR,LIRF,2019-06-30 10:21:34+00:00,2019-07-01 03:41:29+00:00,2019-07-01 00:00:00+00:00,-26.13194274902344,28.238853598540693,1524.0,41.854465290651476,12.25793173146802,22.86
151,AZA769,,4caa32,EI-EJM,A332,LIRF,LIRF,2019-06-30 13:27:48+00:00,2019-07-01 08:04:55+00:00,2019-07-01 00:00:00+00:00,41.7681884765625,12.24432511763139,304.8,41.86843872070312,12.25200306285511,91.44
165,AZA785,,4ca633,EI-FNI,B772,LIRF,LIRF,2019-06-30 13:47:28+00:00,2019-07-01 16:13:59+00:00,2019-07-01 00:00:00+00:00,41.77555847167969,12.24307667125355,0.0,41.84852600097656,12.21261457963423,175.26
262,AZA689,,4ca1e0,EI-DBL,B772,,LIRF,2019-06-30 15:19:11+00:00,2019-07-01 04:15:39+00:00,2019-07-01 00:00:00+00:00,-31.453205690545587,-66.2653015136719,10363.2,41.82344055175781,12.2231015292081,22.86
316,AZA681,AZ681,4caaba,EI-ISE,B772,SAEZ,LIRF,2019-06-30 15:54:50+00:00,2019-07-01 04:26:53+00:00,2019-07-01 00:00:00+00:00,-34.818932484772226,-58.55403900146485,0.0,41.82865905761719,12.22085432572798,45.72
327,ETD83W,,8964fe,,,RKSI,LIRF,2019-06-30 16:00:10+00:00,2019-07-01 10:43:59+00:00,2019-07-01 00:00:00+00:00,37.48622131347656,126.43282626537571,0.0,41.84852600097656,12.21255215731534,160.02
347,CAL075,,899000,B-18901,A359,RCTP,LIRF,2019-06-30 16:06:46+00:00,2019-07-01 05:39:46+00:00,2019-07-01 00:00:00+00:00,25.113256422139827,121.2672453106574,304.8,41.84873936539989,12.21245344295058,175.26
566,CPA293,CX293,789230,,,VHHH,LIRF,2019-06-30 17:36:28+00:00,2019-07-01 06:07:57+00:00,2019-07-01 00:00:00+00:00,22.301175392280197,113.91347249348959,0.0,41.85795670848782,12.20855712890625,228.6
585,THA944,,88510a,,,VTBS,LIRF,2019-06-30 17:43:19+00:00,2019-07-01 04:41:08+00:00,2019-07-01 00:00:00+00:00,13.63906860351562,100.7478016820447,304.8,41.83938236559853,12.21634975699491,114.3
596,AZA6FA,,4ca937,EI-EJJ,A332,,LIRF,2019-06-30 17:47:08+00:00,2019-07-01 04:29:37+00:00,2019-07-01 00:00:00+00:00,-22.88750082759537,-43.27184041341144,3048.0,41.838451320842154,12.216796875,106.68
610,AZA675,,4caab6,EI-ISA,B772,SBGR,LIRF,2019-06-30 17:54:38+00:00,2019-07-01 04:44:33+00:00,2019-07-01 00:00:00+00:00,-23.436491368180608,-46.489766438802064,609.6,41.87384033203125,12.24969343705611,144.78
701,BPA1740,,4d21b6,,,LIRF,LIRF,2019-06-30 18:32:28+00:00,2019-07-01 20:29:49+00:00,2019-07-01 00:00:00+00:00,41.77711486816406,12.24251487038352,0.0,41.87612915039062,12.2489443692294,152.4
732,AZA849,AZ849,4ca936,EI-EJI,A332,FAOR,LIRF,2019-06-30 18:45:20+00:00,2019-07-01 04:11:29+00:00,2019-07-01 00:00:00+00:00,-26.13267517089844,28.238594487028305,1524.0,41.82705688476562,12.2214785489169,45.72
780,CSN661,,78070d,B-6526,A332,,LIRF,2019-06-30 19:00:58+00:00,2019-07-01 06:19:48+00:00,2019-07-01 00:00:00+00:00,27.21215716863082,106.4874150202825,9144.0,41.84501518637447,12.21398641896802,137.16
812,TAM8110,,e48e81,PT-MSS,B763,SBGR,LIRF,2019-06-30 19:12:37+00:00,2019-07-01 06:43:44+00:00,2019-07-01 00:00:00+00:00,-23.43700344279665,-46.49052937825519,914.4,41.859260171146715,12.20785451489826,243.84
885,AAL240,,aa6ccb,N771AN,B772,KDFW,LIRF,2019-06-30 19:31:13+00:00,2019-07-01 06:05:34+00:00,2019-07-01 00:00:00+00:00,32.86312866210938,-97.05514526367188,304.8,41.85800326072563,12.20855712890625,236.22
1277,AZA619,AZ619,4ca87c,EI-EJG,A332,KIAD,LIRF,2019-06-30 20:41:33+00:00,2019-07-01 05:11:27+00:00,2019-07-01 00:00:00+00:00,38.94571853896318,-77.45608520507812,0.0,41.84752900721664,12.212964434956401,160.02
1349,DAL62,DL62,ab15c2,N813NW,A333,89GE,LIRF,2019-06-30 20:49:27+00:00,2019-07-01 06:10:39+00:00,2019-07-01 00:00:00+00:00,33.593582153320305,-84.56810153260524,914.4,41.85055490267479,12.21168695494186,167.64
1537,AAL236,,aaaa92,N787AL,B772,KJFK,LIRF,2019-06-30 21:12:35+00:00,2019-07-01 04:56:52+00:00,2019-07-01 00:00:00+00:00,40.663330078125,-73.75048828125,304.8,41.84538760427701,12.21385867096657,121.92
1548,AZA60M,,4ca820,EI-WLA,B77W,KJFK,LIRF,2019-06-30 21:13:36+00:00,2019-07-01 04:48:45+00:00,2019-07-01 00:00:00+00:00,40.65998142048464,-73.75028436834162,609.6,41.84156799316406,12.21542358398438,114.3
