,callsign,number,icao24,registration,typecode,origin,destination,firstseen,lastseen,day,latitude_1,longitude_1,altitude_1,latitude_2,longitude_2,altitude_2
8365,UPS260,,a41cf8,N364UP,,EDDK,LIPZ,2020-07-01 02:42:11+00:00,2020-07-01 03:48:40+00:00,2020-07-01 00:00:00+00:00,50.86610412597656,7.149872650971284,0.0,45.48953247070312,12.33182634626116,68.58
8633,TAY4149,,4407e8,OE-IAJ,B734,EBLG,LIPZ,2020-07-01 02:52:10+00:00,2020-07-01 04:04:15+00:00,2020-07-01 00:00:00+00:00,50.62747192382812,5.42912533408717,609.6,45.490008855270126,12.33242127953506,68.58
8822,WZZ3159,,471f63,HA-LXB,A321,LROP,LIPZ,2020-07-01 02:59:21+00:00,2020-07-01 04:40:36+00:00,2020-07-01 00:00:00+00:00,44.56645900920286,26.100166134717988,0.0,45.49028816869704,12.33275622856326,53.34
8942,BCS7492,,4074f4,G-DHKR,B752,EDDP,LIPZ,2020-07-01 03:03:38+00:00,2020-07-01 04:09:21+00:00,2020-07-01 00:00:00+00:00,51.41281127929688,12.229267842060812,0.0,45.48977609408104,12.3321533203125,68.58
12366,AFR11EF,AF1126,392aec,F-GKXM,A320,LFPG,LIPZ,2020-07-01 05:26:14+00:00,2020-07-01 06:41:06+00:00,2020-07-01 00:00:00+00:00,48.99655151367188,2.568335899939904,0.0,45.48989868164062,12.332284109933028,53.34
13647,BCS222,,3c542d,D-AEAM,A306,LIRA,LIPZ,2020-07-01 06:21:37+00:00,2020-07-01 07:01:28+00:00,2020-07-01 00:00:00+00:00,41.79604223219015,12.597038801326311,0.0,45.48738098144531,12.329014369419642,83.82000000000002
15289,KLM1651,KL1651,485a33,PH-BCH,B738,EHAM,LIPZ,2020-07-01 07:26:25+00:00,2020-07-01 08:47:51+00:00,2020-07-01 00:00:00+00:00,52.304709483001176,4.774128505161831,0.0,45.48802185058594,12.329799107142858,76.2
16053,NJE808E,,49410c,,,EGGW,LIPZ,2020-07-01 07:54:23+00:00,2020-07-01 09:34:34+00:00,2020-07-01 00:00:00+00:00,51.87405395507812,-0.3717535895270316,0.0,45.48986919855667,12.33222031011814,68.58
16629,RYR8TX,,4ca245,EI-DCO,B738,LEBL,LIPZ,2020-07-01 08:14:30+00:00,2020-07-01 09:41:10+00:00,2020-07-01 00:00:00+00:00,41.24427795410156,2.064208984375,609.6,45.48957824707031,12.331891741071429,68.58
16904,LSA211,,3001ca,I-SEAE,F2TH,LIRA,LIPZ,2020-07-01 08:24:36+00:00,2020-07-01 09:04:58+00:00,2020-07-01 00:00:00+00:00,41.80106987387447,12.59365347928779,0.0,45.48502776582362,12.32572229897104,99.06
16990,BAW15PZ,BA578,4077e0,G-NEOW,A21N,EGLL,LIPZ,2020-07-01 08:27:35+00:00,2020-07-01 10:09:26+00:00,2020-07-01 00:00:00+00:00,51.47760423563295,-0.4686737060546875,0.0,45.49012756347656,12.33261108398438,60.96
17386,VJT453,,4d20cf,9H-VCB,CL35,,LIPZ,2020-07-01 08:41:55+00:00,2020-07-01 09:22:46+00:00,2020-07-01 00:00:00+00:00,43.58672061208951,7.412501743861608,2438.4,45.48898470603813,12.331148473227902,53.34
17758,NATO11,,4d03d0,LX-N90459,E3TF,LIPZ,LIPZ,2020-07-01 08:55:12+00:00,2020-07-01 13:27:02+00:00,2020-07-01 00:00:00+00:00,45.51677639201536,12.36625113138338,0.0,45.48311912407311,12.323444645579269,114.3
17800,DCBAY,,3cc2bc,D-CBAY,C680,EDDM,LIPZ,2020-07-01 08:56:37+00:00,2020-07-01 09:37:53+00:00,2020-07-01 00:00:00+00:00,48.36378479003906,11.78086500901442,304.8,45.48567949715307,12.32672714605564,83.82000000000002
18130,RYR8922,,4d2247,9H-QDF,B738,,LIPZ,2020-07-01 09:07:18+00:00,2020-07-01 10:17:58+00:00,2020-07-01 00:00:00+00:00,38.28849792480469,12.87504155585106,3048.0,45.48893815380032,12.33101449361662,68.58
19426,WZZ3791,,471f56,HA-LWO,A320,,LIPZ,2020-07-01 09:57:02+00:00,2020-07-01 11:48:08+00:00,2020-07-01 00:00:00+00:00,46.74586486816406,27.98445538776677,7315.200000000003,45.49053955078125,12.33306884765625,68.58
19618,DLA9XA,,300781,I-ADJX,E195,EDDM,LIPZ,2020-07-01 10:02:55+00:00,2020-07-01 10:42:57+00:00,2020-07-01 00:00:00+00:00,48.36381815247616,11.78081311677632,304.8,45.4896829896054,12.33188536108994,68.58
20924,AWT225,2B225,50101e,ZA-ALB,B734,,LIPZ,2020-07-01 10:46:51+00:00,2020-07-01 11:52:26+00:00,2020-07-01 00:00:00+00:00,41.73463983050847,19.0037288222202,7010.400000000002,45.4833984375,12.32234409877232,114.3
21357,RYR67KP,,4d2262,9H-QAY,B738,,LIPZ,2020-07-01 11:00:31+00:00,2020-07-01 12:17:14+00:00,2020-07-01 00:00:00+00:00,37.513515666379774,15.27278734290082,2133.6,45.48972954184321,12.33201934070122,68.58
21826,9AJIM,,501e43,9A-JIM,C525,LIPX,LIPZ,2020-07-01 11:11:37+00:00,2020-07-01 11:30:40+00:00,2020-07-01 00:00:00+00:00,45.40310668945312,10.900530133928571,0.0,45.49010195974576,12.33255525914634,76.2
22266,DLH326,LH326,3c6585,D-AILE,A319,EDDF,LIPZ,2020-07-01 11:22:31+00:00,2020-07-01 12:31:29+00:00,2020-07-01 00:00:00+00:00,50.04362073995299,8.56833380621833,0.0,45.4892578125,12.331433977399552,76.2
24487,JSH521,,471a79,HA-KAR,C525,LDPL,LIPZ,2020-07-01 12:14:14+00:00,2020-07-01 12:34:47+00:00,2020-07-01 00:00:00+00:00,44.89581298828125,13.86226109095982,304.8,45.48381740764036,12.324382502858231,83.82000000000002
25169,AZA2TS,,4ca8dc,EI-IKL,A320,LIRF,LIPZ,2020-07-01 12:28:26+00:00,2020-07-01 13:07:53+00:00,2020-07-01 00:00:00+00:00,41.80531311035156,12.25400057705966,0.0,45.48989868164062,12.332284109933028,76.2
27583,PROVA35,,33fd52,,,,LIPZ,2020-07-01 13:14:26+00:00,2020-07-01 13:59:21+00:00,2020-07-01 00:00:00+00:00,45.82992553710938,12.12013058546113,2133.6,45.509933213056144,12.3702705197218,182.88
27614,RYR414N,,4d2213,9H-QCY,B738,LIBD,LIPZ,2020-07-01 13:14:54+00:00,2020-07-01 14:18:10+00:00,2020-07-01 00:00:00+00:00,41.14031982421875,16.766845703125,0.0,45.49008178710938,12.33248029436384,76.2
28778,AFR12SH,AF1226,3946e0,F-GRXA,A319,LFPG,LIPZ,2020-07-01 13:35:30+00:00,2020-07-01 14:55:55+00:00,2020-07-01 00:00:00+00:00,48.99636840820312,2.5646033653846154,0.0,45.49005540750795,12.33255525914634,68.58
29764,RYR5040,,4d21ec,9H-QAD,B738,LICA,LIPZ,2020-07-01 13:52:05+00:00,2020-07-01 15:04:54+00:00,2020-07-01 00:00:00+00:00,38.90566033832097,16.23992919921875,0.0,45.48976135253906,12.33208792550223,76.2
30215,DLA8XL,,3003ad,I-ADJM,E195,EDDM,LIPZ,2020-07-01 14:00:02+00:00,2020-07-01 14:43:08+00:00,2020-07-01 00:00:00+00:00,48.36410522460938,11.78452711838942,304.8,45.49026489257812,12.33274187360491,76.2
33787,AZE59UN,,3e175b,D-IAAT,E50P,LIRA,LIPZ,2020-07-01 14:58:25+00:00,2020-07-01 15:49:07+00:00,2020-07-01 00:00:00+00:00,41.79888191869704,12.59512258130451,0.0,45.48747253417969,12.32907976422991,106.68
33804,IFVAB,,30067e,I-FVAB,C25M,LFKF,LIPZ,2020-07-01 14:58:44+00:00,2020-07-01 15:52:10+00:00,2020-07-01 00:00:00+00:00,41.54163425251589,9.160106570221656,914.4,45.48294067382812,12.323390415736608,129.54
36262,EJU46CF,,440291,OE-ICG,A320,LIEE,LIPZ,2020-07-01 15:40:21+00:00,2020-07-01 16:46:58+00:00,2020-07-01 00:00:00+00:00,39.24559020996094,9.061033829398776,0.0,45.48581915386652,12.3269951052782,114.3
37718,RYR57DJ,,4caa57,EI-EVR,B738,EIDW,LIPZ,2020-07-01 16:06:23+00:00,2020-07-01 18:23:45+00:00,2020-07-01 00:00:00+00:00,53.42190500033104,-6.279494341681982,0.0,45.4901950642214,12.33262224895198,76.2
38357,RYR4RZ,,4cafc0,EI-GSK,B738,EBCI,LIPZ,2020-07-01 16:17:26+00:00,2020-07-01 17:31:42+00:00,2020-07-01 00:00:00+00:00,50.45755160056938,4.445008973817568,0.0,45.48994445800781,12.332349504743302,83.82000000000002
40762,RYR1068,,4ca304,EI-DLY,B738,EGPH,LIPZ,2020-07-01 17:02:03+00:00,2020-07-01 19:16:36+00:00,2020-07-01 00:00:00+00:00,55.94613647460938,-3.379710804332377,0.0,45.48989868164062,12.33221871512277,76.2
44060,TAY4267,,440193,OE-IMC,B738,LGAV,LIPZ,2020-07-01 18:04:54+00:00,2020-07-01 19:51:55+00:00,2020-07-01 00:00:00+00:00,37.995377880031775,23.98363196331522,914.4,45.491358870166856,12.33409602467607,68.58
47217,UPS259,,a41cf8,N364UP,,LIRA,LIPZ,2020-07-01 19:06:15+00:00,2020-07-01 19:48:43+00:00,2020-07-01 00:00:00+00:00,41.80380249023438,12.59176774458452,0.0,45.49273681640625,12.335946219308028,60.96
