,date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_cases_per_million,total_deaths_per_million,new_deaths_per_million,total_vaccinations,people_fully_vaccinated_per_hundred
98722,2020-01-31,2.0,2.0,,,0.034,0.034,,,,
98723,2020-02-01,2.0,0.0,,,0.034,0.0,,,,
98724,2020-02-02,2.0,0.0,,,0.034,0.0,,,,
98725,2020-02-03,2.0,0.0,,,0.034,0.0,,,,
98726,2020-02-04,2.0,0.0,,,0.034,0.0,,,,
98727,2020-02-05,2.0,0.0,,,0.034,0.0,,,,
98728,2020-02-06,2.0,0.0,,,0.034,0.0,,,,
98729,2020-02-07,3.0,1.0,,,0.051,0.017,,,,
98730,2020-02-08,3.0,0.0,,,0.051,0.0,,,,
98731,2020-02-09,3.0,0.0,,,0.051,0.0,,,,
98732,2020-02-10,3.0,0.0,,,0.051,0.0,,,,
98733,2020-02-11,3.0,0.0,,,0.051,0.0,,,,
98734,2020-02-12,3.0,0.0,,,0.051,0.0,,,,
98735,2020-02-13,3.0,0.0,,,0.051,0.0,,,,
98736,2020-02-14,3.0,0.0,,,0.051,0.0,,,,
98737,2020-02-15,3.0,0.0,,,0.051,0.0,,,,
98738,2020-02-16,3.0,0.0,,,0.051,0.0,,,,
98739,2020-02-17,3.0,0.0,,,0.051,0.0,,,,
98740,2020-02-18,3.0,0.0,,,0.051,0.0,,,,
98741,2020-02-19,3.0,0.0,,,0.051,0.0,,,,
98742,2020-02-20,3.0,0.0,,,0.051,0.0,,,,
98743,2020-02-21,20.0,17.0,1.0,1.0,0.338,0.287,0.017,0.017,,
98744,2020-02-22,62.0,42.0,2.0,1.0,1.047,0.709,0.034,0.017,,
98745,2020-02-23,155.0,93.0,3.0,1.0,2.616,1.57,0.051,0.017,,
98746,2020-02-24,229.0,74.0,7.0,4.0,3.866,1.249,0.118,0.068,,
98747,2020-02-25,322.0,93.0,10.0,3.0,5.435,1.57,0.169,0.051,,
98748,2020-02-26,453.0,131.0,12.0,2.0,7.647,2.211,0.203,0.034,,
98749,2020-02-27,655.0,202.0,17.0,5.0,11.057,3.41,0.287,0.084,,
98750,2020-02-28,888.0,233.0,21.0,4.0,14.99,3.933,0.354,0.068,,
98751,2020-02-29,1128.0,240.0,29.0,8.0,19.041,4.051,0.49,0.135,,
98752,2020-03-01,1694.0,566.0,34.0,5.0,28.595,9.554,0.574,0.084,,
98753,2020-03-02,2036.0,342.0,52.0,18.0,34.368,5.773,0.878,0.304,,
98754,2020-03-03,2502.0,466.0,79.0,27.0,42.235,7.866,1.334,0.456,,
98755,2020-03-04,3089.0,587.0,107.0,28.0,52.144,9.909,1.806,0.473,,
98756,2020-03-05,3858.0,769.0,148.0,41.0,65.125,12.981,2.498,0.692,,
98757,2020-03-06,4636.0,778.0,197.0,49.0,78.257,13.133,3.325,0.827,,
98758,2020-03-07,5883.0,1247.0,233.0,36.0,99.307,21.05,3.933,0.608,,
98759,2020-03-08,7375.0,1492.0,366.0,133.0,124.493,25.186,6.178,2.245,,
98760,2020-03-09,9172.0,1797.0,463.0,97.0,154.827,30.334,7.816,1.637,,
98761,2020-03-10,10149.0,977.0,631.0,168.0,171.319,16.492,10.652,2.836,,
98762,2020-03-11,12462.0,2313.0,827.0,196.0,210.363,39.044,13.96,3.309,,
98763,2020-03-12,15113.0,2651.0,1016.0,189.0,255.113,44.75,17.15,3.19,,
98764,2020-03-13,17660.0,2547.0,1266.0,250.0,298.108,42.994,21.371,4.22,,
98765,2020-03-14,21157.0,3497.0,1441.0,175.0,357.138,59.031,24.325,2.954,,
98766,2020-03-15,24747.0,3590.0,1809.0,368.0,417.739,60.601,30.537,6.212,,
98767,2020-03-16,27980.0,3233.0,2158.0,349.0,472.313,54.574,36.428,5.891,,
98768,2020-03-17,31506.0,3526.0,2503.0,345.0,531.834,59.52,42.252,5.824,,
98769,2020-03-18,35713.0,4207.0,2978.0,475.0,602.849,71.016,50.27,8.018,,
98770,2020-03-19,41035.0,5322.0,3405.0,427.0,692.687,89.837,57.478,7.208,,
98771,2020-03-20,47021.0,5986.0,4032.0,627.0,793.733,101.046,68.062,10.584,,
98772,2020-03-21,53578.0,6557.0,4825.0,793.0,904.418,110.685,81.448,13.386,,
98773,2020-03-22,59138.0,5560.0,5476.0,651.0,998.273,93.855,92.437,10.989,,
98774,2020-03-23,63927.0,4789.0,6077.0,601.0,1079.113,80.84,102.582,10.145,,
98775,2020-03-24,69176.0,5249.0,6820.0,743.0,1167.718,88.605,115.124,12.542,,
98776,2020-03-25,74386.0,5210.0,7503.0,683.0,1255.665,87.947,126.654,11.529,,
98777,2020-03-26,80589.0,6203.0,8215.0,712.0,1360.374,104.709,138.672,12.019,,
98778,2020-03-27,86498.0,5909.0,9134.0,919.0,1460.12,99.746,154.186,15.513,,
98779,2020-03-28,92472.0,5974.0,10023.0,889.0,1560.964,100.843,169.192,15.007,,
98780,2020-03-29,97689.0,5217.0,10779.0,756.0,1649.029,88.065,181.954,12.762,,
98781,2020-03-30,101739.0,4050.0,11591.0,812.0,1717.394,68.366,195.661,13.707,,
98782,2020-03-31,105792.0,4053.0,12428.0,837.0,1785.81,68.416,209.79,14.129,,
98783,2020-04-01,110574.0,4782.0,13155.0,727.0,1866.532,80.722,222.062,12.272,,
98784,2020-04-02,115242.0,4668.0,13915.0,760.0,1945.33,78.798,234.891,12.829,,
98785,2020-04-03,119827.0,4585.0,14681.0,766.0,2022.727,77.397,247.821,12.93,,
98786,2020-04-04,124632.0,4805.0,15362.0,681.0,2103.837,81.11,259.317,11.496,,
98787,2020-04-05,128948.0,4316.0,15887.0,525.0,2176.693,72.856,268.179,8.862,,
98788,2020-04-06,132547.0,3599.0,16523.0,636.0,2237.445,60.753,278.915,10.736,,
98789,2020-04-07,135586.0,3039.0,17127.0,604.0,2288.745,51.3,289.11,10.196,,
98790,2020-04-08,139422.0,3836.0,17669.0,542.0,2353.498,64.753,298.26,9.149,,
98791,2020-04-09,143626.0,4204.0,18279.0,610.0,2424.463,70.965,308.557,10.297,,
