,origin,destination,total,year,month
LIMC,4362.0,4382.0,8744.0,2020,7
LIRF,3658.0,3753.0,7411.0,2020,7
LIME,1721.0,1761.0,3482.0,2020,7
LIPZ,1511.0,1526.0,3037.0,2020,7
LIPE,1299.0,1196.0,2495.0,2020,7
LFPG,420.0,452.0,872.0,2020,7
LIEE,447.0,311.0,758.0,2020,7
EGLL,285.0,313.0,598.0,2020,7
LEBL,268.0,252.0,520.0,2020,7
LIBD,252.0,254.0,506.0,2020,7
LIEO,230.0,268.0,498.0,2020,7
EDDF,234.0,234.0,468.0,2020,7
EDDM,218.0,222.0,440.0,2020,7
LICJ,243.0,167.0,410.0,2020,7
LEMD,211.0,190.0,401.0,2020,7
EHAM,225.0,173.0,398.0,2020,7
LIEA,182.0,205.0,387.0,2020,7
EDDP,159.0,180.0,339.0,2020,7
LGAV,158.0,161.0,319.0,2020,7
LIED,61.0,236.0,297.0,2020,7
EBBR,117.0,170.0,287.0,2020,7
LOWW,154.0,131.0,285.0,2020,7
LEIB,133.0,136.0,269.0,2020,7
LICA,111.0,151.0,262.0,2020,7
EDDK,124.0,135.0,259.0,2020,7
LROP,126.0,130.0,256.0,2020,7
OTHH,100.0,122.0,222.0,2020,7
EGSS,108.0,98.0,206.0,2020,7
ELLX,97.0,100.0,197.0,2020,7
LIBR,17.0,176.0,193.0,2020,7
EGGW,106.0,85.0,191.0,2020,7
LPPT,99.0,92.0,191.0,2020,7
LSZH,91.0,89.0,180.0,2020,7
LICC,173.0,2.0,175.0,2020,7
EPWA,86.0,88.0,174.0,2020,7
EKCH,81.0,82.0,163.0,2020,7
LFPO,76.0,77.0,153.0,2020,7
EIDW,73.0,72.0,145.0,2020,7
EBLG,69.0,67.0,136.0,2020,7
LHBP,67.0,68.0,135.0,2020,7
LIRA,62.0,68.0,130.0,2020,7
LEPA,63.0,64.0,127.0,2020,7
LMML,66.0,60.0,126.0,2020,7
LEMG,57.0,61.0,118.0,2020,7
EGNX,61.0,55.0,116.0,2020,7
EGMC,59.0,57.0,116.0,2020,7
GMMN,58.0,58.0,116.0,2020,7
EBMB,77.0,38.0,115.0,2020,7
EHEH,54.0,57.0,111.0,2020,7
LEMH,38.0,70.0,108.0,2020,7
EGKK,59.0,44.0,103.0,2020,7
UKBB,48.0,48.0,96.0,2020,7
EPKK,46.0,48.0,94.0,2020,7
EDDL,46.0,45.0,91.0,2020,7
LGMK,39.0,49.0,88.0,2020,7
LEZL,46.0,42.0,88.0,2020,7
LKPR,42.0,44.0,86.0,2020,7
EBCI,41.0,42.0,83.0,2020,7
OMDB,47.0,31.0,78.0,2020,7
EGCC,36.0,39.0,75.0,2020,7
LIMJ,38.0,33.0,71.0,2020,7
EGGD,34.0,36.0,70.0,2020,7
UMMS,33.0,36.0,69.0,2020,7
LSGG,33.0,36.0,69.0,2020,7
LIMA,2.0,65.0,67.0,2020,7
EDDT,32.0,33.0,65.0,2020,7
EVRA,34.0,28.0,62.0,2020,7
LIPY,25.0,36.0,61.0,2020,7
LIPO,50.0,10.0,60.0,2020,7
LEAL,28.0,29.0,57.0,2020,7
EDDB,31.0,25.0,56.0,2020,7
LIMF,51.0,5.0,56.0,2020,7
EPGD,28.0,27.0,55.0,2020,7
LICP,1.0,52.0,53.0,2020,7
LPPR,27.0,25.0,52.0,2020,7
UUEE,19.0,32.0,51.0,2020,7
LLBG,27.0,24.0,51.0,2020,7
KJFK,20.0,30.0,50.0,2020,7
LIML,20.0,29.0,49.0,2020,7
KEWR,23.0,26.0,49.0,2020,7
KORD,26.0,20.0,46.0,2020,7
ZGSZ,25.0,21.0,46.0,2020,7
EGPH,29.0,16.0,45.0,2020,7
EYVI,22.0,22.0,44.0,2020,7
EDDS,22.0,21.0,43.0,2020,7
UKLL,21.0,21.0,42.0,2020,7
LFOB,19.0,21.0,40.0,2020,7
OMAA,22.0,17.0,39.0,2020,7
LIPX,11.0,27.0,38.0,2020,7
KPHL,18.0,18.0,36.0,2020,7
EPMO,18.0,18.0,36.0,2020,7
LTBA,14.0,21.0,35.0,2020,7
LGIR,17.0,16.0,33.0,2020,7
LJLJ,16.0,17.0,33.0,2020,7
LGSR,14.0,18.0,32.0,2020,7
RKSI,2.0,29.0,31.0,2020,7
LDZA,23.0,8.0,31.0,2020,7
EDDH,16.0,15.0,31.0,2020,7
LIPL,16.0,15.0,31.0,2020,7
LFPB,13.0,18.0,31.0,2020,7
CYYZ,15.0,14.0,29.0,2020,7
EDFM,17.0,12.0,29.0,2020,7
LRCL,4.0,24.0,28.0,2020,7
LRTR,18.0,10.0,28.0,2020,7
VHHH,14.0,13.0,27.0,2020,7
GOBD,14.0,13.0,27.0,2020,7
LPFR,13.0,13.0,26.0,2020,7
LYBE,17.0,9.0,26.0,2020,7
EETN,12.0,13.0,25.0,2020,7
VIDP,13.0,11.0,24.0,2020,7
EGKB,10.0,14.0,24.0,2020,7
BIKF,13.0,9.0,22.0,2020,7
DTTA,5.0,16.0,21.0,2020,7
EPKT,8.0,13.0,21.0,2020,7
LRCV,12.0,6.0,18.0,2020,7
ESGG,9.0,9.0,18.0,2020,7
EFLP,9.0,9.0,18.0,2020,7
LICB,9.0,9.0,18.0,2020,7
EIKN,9.0,9.0,18.0,2020,7
EICK,8.0,9.0,17.0,2020,7
EGAA,8.0,9.0,17.0,2020,7
EYKA,8.0,9.0,17.0,2020,7
VABB,9.0,8.0,17.0,2020,7
EKBI,8.0,8.0,16.0,2020,7
LFML,10.0,6.0,16.0,2020,7
ESSA,8.0,8.0,16.0,2020,7
ENTO,8.0,8.0,16.0,2020,7
LIBC,7.0,8.0,15.0,2020,7
GCRR,7.0,8.0,15.0,2020,7
